"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Maserati Ghibli",13900,63000,2014,5,"Diesel","Saloon","3.0L","Automatic",4,5
"Ford Focus",798,140599,2008,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Vauxhall Astra",5990,92244,2015,NA,"Diesel","Estate","1.3L","Manual",5,5
"Peugeot 207",1699,92000,2009,3,"Petrol","Hatchback","1.4L","Manual",5,5
"BMW 3 Series",2500,111563,2006,2,"Diesel","Estate","2.0L","Manual",5,5
"Vauxhall Corsa",12000,18992,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",2995,47988,2009,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"BMW 3 Series",3989,75890,2004,5,"Petrol","Convertible","2.0L","Automatic",2,4
"Audi A3",6345,86000,2013,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"SKODA Octavia",9895,79147,2018,1,"Diesel","Estate","1.6L","Manual",5,5
"Mazda MX-5",799,131848,2004,4,"Petrol","Convertible","1.8L","Manual",2,2
"Vauxhall Corsa",5000,75300,2016,2,"Petrol","Hatchback","1.4L","Manual",3,5
"Mercedes-Benz C Class",8990,80429,2012,5,"Petrol","Coupe","1.6L","Automatic",2,4
"Vauxhall Corsa",1699,67000,2006,5,"Petrol","Hatchback","1.2L","Manual",5,5
"MINI Hatch",1250,143000,2004,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"Peugeot 207",2175,84000,2010,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Citroen C3",10998,22506,2019,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Focus",2495,60000,2007,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Ford Focus C-max",700,91617,2007,NA,"Petrol","MPV","1.6L","Manual",5,5
"Ford Fiesta",3250,85000,2009,3,"Petrol","Hatchback","1.3L","Manual",5,5
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Ford Fiesta",4950,71898,2014,2,"Petrol","Hatchback","1.0L","Manual",3,5
"Ford Focus",1499,113187,2008,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",2490,42800,2007,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Renault Clio",14499,24424,2022,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Vauxhall Zafira",3995,79980,2010,2,"Diesel","MPV","1.9L","Automatic",5,7
"Ford Focus",798,140599,2008,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Toyota Yaris",2995,81224,2006,NA,"Petrol","Hatchback","1.0L","Manual",3,5
